geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
421010029002005,1303,East Passyunk,,61,38,4260000
421010029002007,1303,East Passyunk,,71,31,4260000
421010029002008,1303,East Passyunk,,112,61,4260000
421010029002009,1303,East Passyunk,,119,57,4260000
421010040011000,1303,East Passyunk,,164,81,4260000
421010040011001,1303,East Passyunk,,116,50,4260000
421010040011002,1303,East Passyunk,,103,55,4260000
421010040011003,1303,East Passyunk,,101,55,4260000
421010040011004,1303,East Passyunk,,130,64,4260000
421010040011005,1303,East Passyunk,,94,43,4260000
421010040011006,1303,East Passyunk,,77,44,4260000
421010040011007,1303,East Passyunk,,128,61,4260000
421010040011008,1303,East Passyunk,,116,56,4260000
421010040011009,1303,East Passyunk,,59,35,4260000
421010040011010,1303,East Passyunk,,144,55,4260000
421010040011011,1303,East Passyunk,,60,28,4260000
421010040014000,1303,East Passyunk,,102,52,4260000
421010040014001,1303,East Passyunk,,118,53,4260000
421010040014002,1303,East Passyunk,,93,52,4260000
421010040014003,1303,East Passyunk,,68,50,4260000
421010040014004,1303,East Passyunk,,2,3,4260000
421010040014005,1303,East Passyunk,,77,58,4260000
421010040014006,1303,East Passyunk,,0,0,4260000
421010040014011,1303,East Passyunk,,145,60,4260000
421010040014012,1303,East Passyunk,,94,40,4260000
421010040014013,1303,East Passyunk,,116,56,4260000
421010040014014,1303,East Passyunk,,125,72,4260000
421010041014002,1303,East Passyunk,,137,57,4260000
421010041014003,1303,East Passyunk,,136,56,4260000
421010041014004,1303,East Passyunk,,111,53,4260000
421010041014008,1303,East Passyunk,,57,26,4260000
421010041014009,1303,East Passyunk,,72,35,4260000
421010041014016,1303,East Passyunk,,48,21,4260000
421010111001000,1277,West Parkside,,0,0,4260000
421010111001001,1277,West Parkside,,20,8,4260000
421010111001002,1277,West Parkside,,18,10,4260000
421010111001003,1277,West Parkside,,0,0,4260000
421010111001004,1277,West Parkside,,144,53,4260000
421010111001005,1277,West Parkside,,46,25,4260000
421010111001006,1277,West Parkside,,71,38,4260000
421010111001007,1277,West Parkside,,130,54,4260000
421010111001008,1277,West Parkside,,11,2,4260000
421010111001009,1277,West Parkside,,0,0,4260000
421010111001010,1277,West Parkside,,0,0,4260000
421010111001011,1277,West Parkside,,0,0,4260000
421010111001012,1277,West Parkside,,54,33,4260000
421010111002000,1277,West Parkside,,58,31,4260000
421010111005000,1277,West Parkside,,0,0,4260000
421010111005006,1277,West Parkside,,12,10,4260000
421010111005007,1277,West Parkside,,14,4,4260000
421010002001006,1239,Center City East,,0,0,4260000
421010002001007,1239,Center City East,,0,0,4260000
421010002001008,1239,Center City East,,0,0,4260000
421010002001009,1239,Center City East,,0,0,4260000
421010002001010,1239,Center City East,,0,0,4260000
421010002001011,1239,Center City East,,0,0,4260000
421010002001012,1239,Center City East,,0,0,4260000
421010002001013,1239,Center City East,,7,7,4260000
421010002001014,1239,Center City East,,4,4,4260000
421010002001015,1239,Center City East,,0,0,4260000
421010002001016,1239,Center City East,,2,2,4260000
421010002001017,1239,Center City East,,0,0,4260000
421010002001018,1239,Center City East,,0,0,4260000
